,age,count
3371,17.0,6
1755,17.0,5
1772,17.0,5
1208,17.0,6
1767,17.0,5
410,17.0,5
764,17.0,5
769,17.11111111111111,9
762,17.142857142857142,7
765,17.166666666666668,6
1766,17.166666666666668,6
3332,17.166666666666668,6
1753,17.2,5
768,17.25,8
1757,17.25,8
266,17.333333333333332,6
1770,17.333333333333332,6
3335,17.333333333333332,6
3341,17.333333333333332,6
1222,17.333333333333332,6
1215,17.4,5
1773,17.4,5
1794,17.4,5
1775,17.4,5
3339,17.4,5
4118,17.428571428571427,7
3331,17.5,6
3333,17.5,6
1792,17.5,8
3337,17.5,6
267,17.571428571428573,7
1209,17.571428571428573,7
1793,17.6,5
261,17.6,5
2524,17.6,5
3330,17.6,5
1771,17.6,5
3336,17.6,5
1769,17.6,5
1765,17.6,5
3329,17.6,5
1262,17.666666666666668,6
4033,17.666666666666668,6
3334,17.666666666666668,6
1777,17.666666666666668,6
3340,17.666666666666668,6
470,17.714285714285715,7
442,17.714285714285715,7
3342,17.714285714285715,7
1216,17.77777777777778,9
4034,17.8,5
1774,17.8,5
1779,17.8,5
766,17.833333333333332,6
1802,17.875,8
471,18.0,7
4119,18.0,5
4121,18.0,6
776,18.0,8
411,18.0,6
1776,18.0,5
1205,18.0,6
1833,18.166666666666668,6
1219,18.166666666666668,6
4645,18.2,5
2523,18.285714285714285,7
1865,18.333333333333332,9
131,18.333333333333332,6
1259,18.333333333333332,6
263,18.4,5
4120,18.4,5
771,18.4,5
1828,18.4,5
1781,18.4,5
1628,18.5,8
1221,18.5,6
1796,18.5,8
6026,18.555555555555557,9
2602,18.571428571428573,7
4682,18.571428571428573,7
4646,18.6,5
4667,18.6,5
6070,18.6,5
2446,18.6,5
1674,18.6,5
4145,18.625,8
6027,18.625,8
6025,18.625,8
6573,18.666666666666668,6
6028,18.666666666666668,9
4146,18.714285714285715,7
4037,18.714285714285715,7
5413,18.714285714285715,7
4681,18.714285714285715,7
5386,18.8,5
4043,18.8,5
6031,18.8,5
2453,18.833333333333332,6
775,18.875,8
1229,18.875,8
6078,19.0,5
1260,19.0,5
17,19.0,6
2555,19.0,6
1218,19.0,6
3246,19.0,7
4678,19.0,9
3229,19.0,7
6029,19.0,5
2435,19.0,7
4041,19.0,5
3235,19.0,9
1223,19.0,5
1797,19.0,6
5385,19.0,5
5476,19.125,8
3194,19.142857142857142,7
265,19.166666666666668,6
3398,19.166666666666668,6
21,19.166666666666668,6
2525,19.166666666666668,6
4732,19.166666666666668,6
6033,19.2,5
412,19.2,5
3889,19.2,5
3196,19.22222222222222,9
3232,19.25,8
1831,19.333333333333332,6
1791,19.333333333333332,6
112,19.333333333333332,6
1217,19.333333333333332,6
6024,19.375,8
113,19.4,5
1644,19.4,5
5388,19.4,5
4651,19.4,5
6587,19.4,5
436,19.428571428571427,7
1795,19.428571428571427,7
1228,19.428571428571427,7
1220,19.5,6
3909,19.5,6
4083,19.5,6
4721,19.5,8
1230,19.555555555555557,9
6079,19.6,5
4741,19.6,5
1245,19.6,5
380,19.6,5
4081,19.6,5
4654,19.6,5
4669,19.6,5
4677,19.625,8
2535,19.666666666666668,6
3256,19.666666666666668,6
5420,19.666666666666668,6
1834,19.714285714285715,7
5475,19.77777777777778,9
1236,19.8,5
126,19.8,5
6023,19.8,5
5455,19.8,5
3898,19.8,5
3234,19.8,5
4685,19.8,5
4675,19.8,5
2441,19.8,5
2601,19.833333333333332,6
6584,19.833333333333332,6
4679,19.833333333333332,6
5405,19.875,8
3237,19.88888888888889,9
3396,20.0,6
3368,20.0,8
3397,20.0,5
3399,20.0,5
4755,20.0,7
5481,20.0,6
264,20.0,6
4046,20.0,8
5411,20.0,6
3902,20.0,5
5391,20.0,5
4082,20.0,5
6066,20.0,5
6585,20.0,5
1778,20.0,6
5410,20.0,6
377,20.0,5
3073,20.0,7
4065,20.11111111111111,9
5390,20.11111111111111,9
3227,20.11111111111111,9
3228,20.125,8
4660,20.125,8
6074,20.125,8
4074,20.142857142857142,7
2606,20.166666666666668,6
6576,20.166666666666668,6
6542,20.166666666666668,6
2526,20.166666666666668,6
2603,20.2,5
3395,20.2,5
4742,20.2,5
6022,20.2,5
3201,20.2,5
4719,20.2,5
2537,20.2,5
4080,20.2,5
1756,20.2,5
3199,20.25,8
1832,20.285714285714285,7
5433,20.285714285714285,7
4071,20.285714285714285,7
1639,20.333333333333332,6
5451,20.333333333333332,9
6075,20.333333333333332,9
4040,20.333333333333332,6
6045,20.333333333333332,6
3369,20.375,8
4673,20.375,8
472,20.4,5
1768,20.4,5
4733,20.4,5
4656,20.4,5
4697,20.4,5
6575,20.4,5
1113,20.4,5
3200,20.4,5
4070,20.428571428571427,7
4700,20.428571428571427,7
4447,20.444444444444443,9
2604,20.5,6
3370,20.5,8
5432,20.5,6
1569,20.5,6
5415,20.5,6
6073,20.555555555555557,9
4092,20.555555555555557,9
3367,20.571428571428573,7
3266,20.571428571428573,7
451,20.571428571428573,7
4680,20.571428571428573,7
1065,20.571428571428573,7
5479,20.6,5
793,20.6,5
7373,20.6,5
381,20.6,5
5387,20.6,5
3289,20.6,5
1751,20.6,5
1754,20.6,5
5401,20.6,5
2416,20.6,5
4659,20.625,8
4075,20.625,8
268,20.666666666666668,9
2558,20.666666666666668,9
3251,20.666666666666668,6
5389,20.666666666666668,6
3193,20.714285714285715,7
4703,20.75,8
4731,20.75,8
437,20.77777777777778,9
2415,20.8,5
6032,20.8,5
4078,20.8,5
4676,20.8,5
2434,20.8,5
1130,20.8,5
692,20.833333333333332,6
4035,20.833333333333332,6
3908,20.833333333333332,6
2444,20.833333333333332,6
4039,20.833333333333332,6
4068,20.833333333333332,6
5163,20.833333333333332,6
767,20.833333333333332,6
6035,20.857142857142858,7
691,20.857142857142858,7
1874,20.875,8
2440,20.875,8
5311,20.88888888888889,9
2410,20.88888888888889,9
2610,21.0,5
1264,21.0,5
2605,21.0,6
1875,21.0,9
240,21.0,5
6069,21.0,5
1110,21.0,8
5784,21.0,5
5424,21.0,5
4729,21.0,6
4684,21.0,9
4698,21.0,8
406,21.0,5
4713,21.0,7
4683,21.0,6
5376,21.0,7
4657,21.0,5
1749,21.0,5
4665,21.0,6
6588,21.0,5
5423,21.0,7
3892,21.0,5
4050,21.0,9
6068,21.0,5
3207,21.0,5
3192,21.0,7
3085,21.11111111111111,9
3244,21.11111111111111,9
6072,21.125,8
3372,21.142857142857142,7
1665,21.142857142857142,7
753,21.142857142857142,7
5418,21.142857142857142,7
58,21.166666666666668,5
59,21.166666666666668,1
3205,21.166666666666668,6
682,21.166666666666668,6
6046,21.166666666666668,6
4452,21.166666666666668,6
2445,21.166666666666668,6
73,21.2,5
1235,21.2,5
231,21.2,5
4042,21.2,5
770,21.2,5
6586,21.2,5
387,21.2,5
2556,21.22222222222222,9
773,21.22222222222222,9
4049,21.22222222222222,9
1867,21.25,8
4711,21.285714285714285,7
4670,21.333333333333332,6
3338,21.333333333333332,6
4522,21.333333333333332,6
2417,21.333333333333332,6
6583,21.333333333333332,6
6063,21.375,7
6064,21.375,1
4523,21.375,8
3373,21.4,5
450,21.4,5
5407,21.4,5
5422,21.428571428571427,7
5164,21.428571428571427,7
3952,21.5,6
1876,21.555555555555557,9
1866,21.555555555555557,9
5426,21.555555555555557,9
386,21.555555555555557,9
427,21.555555555555557,9
5456,21.571428571428573,7
6067,21.571428571428573,7
3252,21.571428571428573,7
5398,21.6,5
1638,21.6,5
4649,21.6,5
423,21.6,5
4655,21.6,5
4077,21.6,5
3086,21.6,5
5191,21.6,5
6071,21.6,5
2418,21.6,5
4668,21.6,5
4072,21.6,5
5421,21.625,8
3287,21.666666666666668,6
6582,21.666666666666668,9
4069,21.666666666666668,6
5416,21.666666666666668,6
4053,21.666666666666668,9
212,21.666666666666668,9
4045,21.714285714285715,7
703,21.714285714285715,7
2443,21.714285714285715,7
5395,21.75,8
4756,21.77777777777778,9
3230,21.77777777777778,8
3231,21.77777777777778,1
6581,21.77777777777778,9
3243,21.77777777777778,9
814,21.8,5
2531,21.8,5
3347,21.8,4
3348,21.8,1
5406,21.8,5
4734,21.8,5
4614,21.8,5
4537,21.8,5
4036,21.833333333333332,6
6030,21.833333333333332,6
5800,21.833333333333332,6
1667,21.833333333333332,6
1630,21.833333333333332,6
5393,21.833333333333332,6
415,21.833333333333332,5
416,21.833333333333332,1
4663,21.833333333333332,6
3943,21.857142857142858,7
1132,21.875,8
6052,21.875,8
4006,21.875,7
4007,21.875,1
4712,21.88888888888889,9
3236,21.88888888888889,9
2442,21.88888888888889,9
1869,22.0,7
6082,22.0,5
2600,22.0,5
5480,22.0,5
5478,22.0,5
1877,22.0,9
242,22.0,5
3906,22.0,6
1641,22.0,9
6020,22.0,5
6580,22.0,6
5192,22.0,5
4704,22.0,6
3907,22.0,7
3941,22.0,7
3942,22.0,1
4714,22.0,5
5417,22.0,7
6060,22.0,6
3268,22.0,5
3278,22.0,7
3263,22.0,5
4535,22.0,6
5399,22.0,5
4482,22.0,9
6061,22.0,6
4693,22.0,5
4715,22.0,6
1677,22.0,5
1542,22.11111111111111,9
4689,22.11111111111111,9
5197,22.11111111111111,9
1124,22.11111111111111,9
2557,22.125,8
5973,22.125,8
3241,22.125,8
4706,22.142857142857142,7
1643,22.142857142857142,7
2409,22.142857142857142,7
4475,22.142857142857142,7
5493,22.166666666666668,6
4449,22.166666666666668,6
6021,22.166666666666668,6
422,22.166666666666668,6
4652,22.166666666666668,6
2356,22.166666666666668,6
1210,22.166666666666668,6
3947,22.166666666666668,6
1666,22.2,5
4686,22.2,5
6962,22.2,5
5449,22.2,5
3204,22.2,5
5783,22.2,5
7053,22.22222222222222,9
459,22.25,8
4085,22.25,8
4131,22.333333333333332,9
1671,22.333333333333332,6
4662,22.333333333333332,9
2422,22.333333333333332,9
2438,22.333333333333332,6
4688,22.375,8
1112,22.375,8
2476,22.375,8
3062,22.375,8
2475,22.4,5
1760,22.4,5
6037,22.4,4
6038,22.4,1
5394,22.428571428571427,7
6034,22.428571428571427,7
4687,22.428571428571427,7
4694,22.5,6
5400,22.5,8
5170,22.5,8
4052,22.555555555555557,9
3145,22.555555555555557,8
3146,22.555555555555557,1
3374,22.571428571428573,7
6577,22.571428571428573,7
4707,22.571428571428573,7
3904,22.571428571428573,7
754,22.571428571428573,7
6501,22.571428571428573,6
6502,22.571428571428573,1
4724,22.571428571428573,7
244,22.6,5
4727,22.6,5
4658,22.6,5
5801,22.6,4
5802,22.6,1
3112,22.6,4
3113,22.6,1
4493,22.6,5
4048,22.625,8
2369,22.625,8
2315,22.625,6
2316,22.625,2
243,22.666666666666668,6
791,22.666666666666668,6
6039,22.666666666666668,6
5942,22.666666666666668,6
1224,22.666666666666668,6
388,22.666666666666668,6
5379,22.666666666666668,6
391,22.714285714285715,7
6574,22.714285714285715,7
2427,22.714285714285715,7
6051,22.714285714285715,7
5169,22.714285714285715,7
5209,22.714285714285715,6
5210,22.714285714285715,1
2309,22.714285714285715,7
4725,22.714285714285715,6
4726,22.714285714285715,1
3910,22.75,8
1676,22.75,8
1111,22.75,8
5167,22.75,8
2354,22.75,8
4076,22.77777777777778,9
3238,22.77777777777778,9
474,22.8,5
5195,22.8,5
3271,22.8,5
5940,22.8,5
6432,22.8,5
5196,22.8,5
5799,22.8,5
1122,22.8,5
1212,22.8,5
122,22.833333333333332,6
5492,22.833333333333332,6
1695,22.833333333333332,6
5392,22.833333333333332,6
5402,22.833333333333332,6
5988,22.833333333333332,6
4451,22.833333333333332,6
3916,22.857142857142858,7
5198,22.857142857142858,7
3258,22.857142857142858,7
5414,22.875,8
241,23.0,5
3221,23.0,6
2607,23.0,6
777,23.0,7
5412,23.0,7
683,23.0,5
3900,23.0,5
3960,23.0,9
4548,23.0,5
694,23.0,6
7000,23.11111111111111,8
7001,23.11111111111111,1
3161,23.11111111111111,9
3375,23.125,8
2349,23.125,8
232,23.125,8
78,23.166666666666668,6
1655,23.166666666666668,6
4093,23.166666666666668,6
5184,23.166666666666668,6
6080,23.2,5
5912,23.2,5
1872,23.2,5
2406,23.2,5
3197,23.2,5
2449,23.2,5
1121,23.2,5
3202,23.2,5
3250,23.2,5
5439,23.2,5
375,23.22222222222222,9
5325,23.22222222222222,9
3206,23.22222222222222,9
5477,23.25,8
4661,23.25,8
1675,23.25,8
3071,23.285714285714285,7
792,23.333333333333332,9
4038,23.333333333333332,6
3239,23.333333333333332,9
4647,23.333333333333332,6
5867,23.333333333333332,8
5868,23.333333333333332,1
4653,23.333333333333332,6
5436,23.4,5
7374,23.4,5
5939,23.4,5
2448,23.4,5
1261,23.428571428571427,7
4056,23.428571428571427,7
3901,23.428571428571427,7
647,23.428571428571427,5
648,23.428571428571427,2
4478,23.428571428571427,7
120,23.444444444444443,9
4702,23.444444444444443,9
5490,23.5,6
1801,23.5,8
1211,23.5,8
2430,23.5,5
2431,23.5,1
1669,23.5,6
6960,23.5,6
2419,23.5,5
2420,23.5,1
4701,23.555555555555557,9
1574,23.555555555555557,9
2350,23.555555555555557,9
1548,23.555555555555557,9
7044,23.571428571428573,7
383,23.571428571428573,7
3276,23.571428571428573,6
3277,23.571428571428573,1
1562,23.6,5
1820,23.6,4
1821,23.6,1
1670,23.6,5
5430,23.6,5
1589,23.6,5
5211,23.6,4
5212,23.6,1
5491,23.666666666666668,6
79,23.666666666666668,6
121,23.666666666666668,6
5461,23.666666666666668,6
4044,23.666666666666668,6
1073,23.666666666666668,6
4474,23.666666666666668,6
